epoch time,date & time,smell value,skewed latitude,skewed longitude,zipcode,smell description,symptoms,additional comments
1609482253,01/01/2021 01:24:13 -05:00,3,40.4066,-79.9115,15120,Sewage,,
1609506847,01/01/2021 08:14:07 -05:00,3,40.484,-80.0462,15212,,,
1609507679,01/01/2021 08:27:59 -05:00,3,40.4219,-79.8465,15221,Industrial ,Headache ,
1609507880,01/01/2021 08:31:20 -05:00,4,40.4382,-79.8225,15235,Cheap laundry detergent and trash ,Headache ,
1609509896,01/01/2021 09:04:56 -05:00,4,40.3023,-80.0605,15102,Industrial ,"Sneezing, eyes burning ",Why ruin 2021 already?!?
1609510536,01/01/2021 09:15:36 -05:00,3,40.3201,-79.9534,15236,Industrial ,Headache ,This is a sucky way to start a new year. 
1609511228,01/01/2021 09:27:08 -05:00,4,40.3306,-79.9562,15236,Industrial Clairton coke works ,Sore throat hard to breath ,
1609516303,01/01/2021 10:51:43 -05:00,5,40.3233,-79.9934,15236,"Acrid, like burning breaks or hot slag",,
1609524981,01/01/2021 13:16:21 -05:00,5,40.4295,-79.9855,15203,chemical smoke,headache naseous,
1609533789,01/01/2021 15:43:09 -05:00,5,40.4972,-79.8197,15147,Cardboard and trach,,Burning  eyes    637 elm drive penn hills 15147 illegal burning by neihbor
1609537133,01/01/2021 16:38:53 -05:00,4,40.3629,-79.9932,15227,Sulfur,,Coke works
1609538515,01/01/2021 17:01:55 -05:00,4,40.4233,-79.9435,15207,Sulfur,,Smell it inside my house
1609546722,01/01/2021 19:18:42 -05:00,4,40.3355,-79.9571,15236,Rotten egg ,Eye irritation ,
1609547538,01/01/2021 19:32:18 -05:00,5,40.3964,-79.88,15122,,,
1609547635,01/01/2021 19:33:55 -05:00,5,40.3962,-79.8778,15122,Rotten eggs,Sore throat,
1609551172,01/01/2021 20:32:52 -05:00,4,40.442,-79.9149,15217,,,
1609553551,01/01/2021 21:12:31 -05:00,3,40.4014,-79.893,15120,Rotten eggs,,
1609555722,01/01/2021 21:48:42 -05:00,5,40.3818,-80.0386,15228,Industrial nightmares ,Anger,
1609559380,01/01/2021 22:49:40 -05:00,5,40.3623,-79.9664,15227,Industrial ,,
1609560399,01/01/2021 23:06:39 -05:00,5,40.4195,-79.9713,15203,Sulfur ,"Headache, stuffy nose",
1609561029,01/01/2021 23:17:09 -05:00,5,40.4313,-79.8954,15218,Industrial ,,
1609562011,01/01/2021 23:33:31 -05:00,5,40.421,-79.9337,15217,Sulfur ,,All windows and doors closed but the smell is seeping inside 
1609562341,01/01/2021 23:39:01 -05:00,4,40.3454,-79.996,15236,Sulfur ,Headache ,
1609563064,01/01/2021 23:51:04 -05:00,5,40.4354,-79.9227,15217,Sulfur,Itchy eyes and throat,
1609563065,01/01/2021 23:51:05 -05:00,4,40.4313,-79.9256,15217,Sulfur,"Headache, fatigue, sore throat, congestion",
1609563286,01/01/2021 23:54:46 -05:00,5,40.4438,-79.9188,15217,Like burning rubber,,
1609565290,01/02/2021 00:28:10 -05:00,3,40.4552,-79.9098,15208,,,
1609566102,01/02/2021 00:41:42 -05:00,4,40.4339,-79.9532,15213,Eggs,,
1609566323,01/02/2021 00:45:23 -05:00,4,40.431,-79.9561,15213,"Industrial, rotten eggs",,
1609566726,01/02/2021 00:52:06 -05:00,5,40.4433,-79.8969,15221,Really raw sewage ,Headache,Not a typical “sewage” smell but more like there’s a mountain of straight f*c*s nearby
1609569654,01/02/2021 01:40:54 -05:00,3,40.441,-79.8861,15221,Sulfur,"Itchy eyes, shortness of breath",
1609569999,01/02/2021 01:46:39 -05:00,4,40.4272,-79.895,15218,sulfur,,
1609594410,01/02/2021 08:33:30 -05:00,5,40.4106,-79.9234,15217,Rotten eggs,"Headache, sore throat, cough",
1609596602,01/02/2021 09:10:02 -05:00,3,40.3364,-79.9879,15236,Industrial,,
1609600716,01/02/2021 10:18:36 -05:00,1,40.5562,-80.0602,15237,,,
1609602829,01/02/2021 10:53:49 -05:00,2,40.3529,-79.8867,15034,,,
1609634121,01/02/2021 19:35:21 -05:00,2,40.4333,-79.8121,15235,None. ,None. ,"Nothing really bad today, just a little exhaust fumes from cars & trucks. "
1609641250,01/02/2021 21:34:10 -05:00,5,40.3626,-79.995,15227,,,
1609644091,01/02/2021 22:21:31 -05:00,5,40.3861,-79.9016,15120,Industrial fumes ,Headache ,I was literally out for 5 minutes and got a headache and throat irritation.
1609646640,01/02/2021 23:04:00 -05:00,5,40.363,-80.0106,15234,"Rotten Eggs, Sulfur, steel mill stink, not fresh air, pollution ",Disgust upon opening the door and smelling the air outside,
1609654156,01/03/2021 01:09:16 -05:00,2,40.4403,-79.8881,15221,Sulfur ,,
1609678225,01/03/2021 07:50:25 -05:00,4,40.4177,-79.9397,15207,Rotten eggs,,
1609679984,01/03/2021 08:19:44 -05:00,4,40.4007,-79.8904,15120,Sulfur,,
1609681194,01/03/2021 08:39:54 -05:00,4,40.3343,-79.9532,15236,Natural gas,,
1609685872,01/03/2021 09:57:52 -05:00,2,40.484,-80.0463,15212,FOUL,,
1609690601,01/03/2021 11:16:41 -05:00,5,40.3198,-79.9264,15025,Industrial,,
1609698908,01/03/2021 13:35:08 -05:00,4,40.3077,-80.0465,15102,Heavy Wood Smoke,,
1609698941,01/03/2021 13:35:41 -05:00,3,40.4286,-79.8605,15221,,Headache,
1609702221,01/03/2021 14:30:21 -05:00,2,40.4519,-79.9584,15219,,,
1609707186,01/03/2021 15:53:06 -05:00,5,40.3633,-80.0065,15236,Industrial! US steel needs to get its act together. It is 2021 and we deserve clean air ,,
1609713285,01/03/2021 17:34:45 -05:00,5,40.3068,-80.0455,15102,Like a forest fire,,
1609722877,01/03/2021 20:14:37 -05:00,5,40.4229,-79.843,15221,Industrial ,Distracting ,
1609735124,01/03/2021 23:38:44 -05:00,1,40.4277,-79.932,15217,,,
1609739575,01/04/2021 00:52:55 -05:00,4,40.4509,-79.9065,15208,Rotten eggs,,
1609748698,01/04/2021 03:24:58 -05:00,4,40.3066,-79.8629,15037,us steel clairton,headache stuffy hard to breath,
1609763313,01/04/2021 07:28:33 -05:00,3,40.4363,-79.822,15235,"Chemicals, eggs",Eyes irritated,
1609769754,01/04/2021 09:15:54 -05:00,5,40.4782,-79.9576,15201,Rotten eggs coming from the sink running water,"Very strong, doesn’t air out ",It comes from running water even for the shortest time. It happens once-twice a week. 
1609779251,01/04/2021 11:54:11 -05:00,4,40.4202,-79.9428,15207,Burn chemical smell,,
1609787688,01/04/2021 14:14:48 -05:00,3,40.4495,-79.9334,15232,Burnt wood ,,
